
=== New Session Started at Thu Dec 12 17:30:41 EST 2024 ===
Packet 95: 40000 bytes, RTT=2ms, SUCCESS
Packet 96: 40000 bytes, RTT=3ms, SUCCESS
Packet 97: 40000 bytes, RTT=8ms, SUCCESS
Packet 98: 40000 bytes, RTT=2ms, SUCCESS
Packet 99: 40000 bytes, RTT=2ms, SUCCESS

Summary: 100/100 packets successful, Average RTT: 2.68ms

=== New Session Started at Thu Dec 12 17:40:58 EST 2024 ===
Packet 0: 40000 bytes, RTT=29ms, SUCCESS
Packet 1: 40000 bytes, RTT=3ms, SUCCESS
Packet 2: 40000 bytes, RTT=3ms, SUCCESS
Packet 3: 40000 bytes, RTT=5ms, SUCCESS
Packet 4: 40000 bytes, RTT=3ms, SUCCESS
Packet 5: 40000 bytes, RTT=2ms, SUCCESS
Packet 6: 40000 bytes, RTT=2ms, SUCCESS
Packet 7: 40000 bytes, RTT=3ms, SUCCESS
Packet 8: 40000 bytes, RTT=3ms, SUCCESS
Packet 9: 40000 bytes, RTT=4ms, SUCCESS
Packet 10: 40000 bytes, RTT=4ms, SUCCESS
Packet 11: 40000 bytes, RTT=3ms, SUCCESS
Packet 12: 40000 bytes, RTT=4ms, SUCCESS
Packet 13: 40000 bytes, RTT=3ms, SUCCESS
Packet 14: 40000 bytes, RTT=3ms, SUCCESS
Packet 15: 40000 bytes, RTT=2ms, SUCCESS
Packet 16: 40000 bytes, RTT=3ms, SUCCESS
Packet 17: 40000 bytes, RTT=3ms, SUCCESS
Packet 18: 40000 bytes, RTT=3ms, SUCCESS
Packet 19: 40000 bytes, RTT=3ms, SUCCESS
Packet 20: 40000 bytes, RTT=3ms, SUCCESS
Packet 21: 40000 bytes, RTT=3ms, SUCCESS
Packet 22: 40000 bytes, RTT=3ms, SUCCESS
Packet 23: 40000 bytes, RTT=3ms, SUCCESS
Packet 24: 40000 bytes, RTT=3ms, SUCCESS
Packet 25: 40000 bytes, RTT=3ms, SUCCESS
Packet 26: 40000 bytes, RTT=3ms, SUCCESS
Packet 27: 40000 bytes, RTT=3ms, SUCCESS
Packet 28: 40000 bytes, RTT=3ms, SUCCESS
Packet 29: 40000 bytes, RTT=3ms, SUCCESS
Packet 30: 40000 bytes, RTT=3ms, SUCCESS
Packet 31: 40000 bytes, RTT=3ms, SUCCESS
Packet 32: 40000 bytes, RTT=3ms, SUCCESS
Packet 33: 40000 bytes, RTT=2ms, SUCCESS
Packet 34: 40000 bytes, RTT=2ms, SUCCESS
Packet 35: 40000 bytes, RTT=3ms, SUCCESS
